"Id","Holiday Name","Day","Type","Comments","Holiday Date","State","Country"
462,Public Holiday,Sunday,Regional Holiday,Johor,2023-12-17,Johor,Malaysia
463,Christmas Day,Monday,National Holiday,"",2023-12-25,Johor,Malaysia
464,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Kedah,Malaysia
465,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Kedah,Malaysia
466,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Kedah,Malaysia
467,Isra and Miraj,Saturday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2023-02-18,Kedah,Malaysia
468,Beginning of Ramadan,Thursday,Regional Holiday,"Kedah, Malacca",2023-03-23,Kedah,Malaysia
469,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Kedah,Malaysia
470,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Kedah,Malaysia
471,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Kedah,Malaysia
472,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Kedah,Malaysia
473,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Kedah,Malaysia
474,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Kedah,Malaysia
475,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Kedah,Malaysia
476,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Kedah,Malaysia
477,Birthday of the Sultan of Kedah,Sunday,Regional Holiday,Kedah only,2023-06-18,Kedah,Malaysia
478,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Kedah,Malaysia
479,Hari Raya Haji Holiday,Friday,Regional Holiday,Some states,2023-06-30,Kedah,Malaysia
480,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Kedah,Malaysia
481,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Kedah,Malaysia
482,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Kedah,Malaysia
483,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Kedah,Malaysia
484,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Kedah,Malaysia
485,Christmas Day,Monday,National Holiday,"",2023-12-25,Kedah,Malaysia
486,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Kelantan,Malaysia
487,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Kelantan,Malaysia
488,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Kelantan,Malaysia
489,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Kelantan,Malaysia
490,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Kelantan,Malaysia
491,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Kelantan,Malaysia
492,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Kelantan,Malaysia
493,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Kelantan,Malaysia
494,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Kelantan,Malaysia
495,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Kelantan,Malaysia
496,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Kelantan,Malaysia
497,Arafat (Haj) Day,Wednesday,Regional Holiday,"Kelantan, Terengganu",2023-06-28,Kelantan,Malaysia
498,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Kelantan,Malaysia
499,Hari Raya Haji Holiday,Friday,Regional Holiday,Some states,2023-06-30,Kelantan,Malaysia
500,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Kelantan,Malaysia
501,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Kelantan,Malaysia
502,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Kelantan,Malaysia
503,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Kelantan,Malaysia
504,Birthday of the Sultan of Kelantan,Saturday,Regional Holiday,Kelantan only,2023-11-11,Kelantan,Malaysia
505,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Kelantan,Malaysia
506,Birthday of the Sultan of Kelantan Holiday,Sunday,Regional Holiday,Kelantan only. Second day,2023-11-12,Kelantan,Malaysia
507,Christmas Day,Monday,National Holiday,"",2023-12-25,Kelantan,Malaysia
508,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Kuala Lumpur,Malaysia
509,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Kuala Lumpur,Malaysia
510,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Kuala Lumpur,Malaysia
511,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Kuala Lumpur,Malaysia
512,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Kuala Lumpur,Malaysia
513,Federal Territory Day,Wednesday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2023-02-01,Kuala Lumpur,Malaysia
514,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Kuala Lumpur,Malaysia
515,Thaipusam (in lieu),Monday,Regional Holiday,Several states,2023-02-06,Kuala Lumpur,Malaysia
516,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Kuala Lumpur,Malaysia
517,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Kuala Lumpur,Malaysia
518,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Kuala Lumpur,Malaysia
519,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Kuala Lumpur,Malaysia
520,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Kuala Lumpur,Malaysia
521,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Kuala Lumpur,Malaysia
522,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Kuala Lumpur,Malaysia
523,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Kuala Lumpur,Malaysia
524,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Kuala Lumpur,Malaysia
525,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Kuala Lumpur,Malaysia
526,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Kuala Lumpur,Malaysia
527,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Kuala Lumpur,Malaysia
528,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Kuala Lumpur,Malaysia
529,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Kuala Lumpur,Malaysia
530,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Kuala Lumpur,Malaysia
531,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Kuala Lumpur,Malaysia
532,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Kuala Lumpur,Malaysia
533,Christmas Day,Monday,National Holiday,"",2023-12-25,Kuala Lumpur,Malaysia
534,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Labuan,Malaysia
535,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Labuan,Malaysia
536,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Labuan,Malaysia
537,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Labuan,Malaysia
538,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Labuan,Malaysia
539,Federal Territory Day,Wednesday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2023-02-01,Labuan,Malaysia
540,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Labuan,Malaysia
541,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Labuan,Malaysia
542,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Labuan,Malaysia
543,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Labuan,Malaysia
544,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Labuan,Malaysia
545,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Labuan,Malaysia
546,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Labuan,Malaysia
547,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Labuan,Malaysia
548,Pesta Kaamatan,Tuesday,Regional Holiday,Sabah and Labuan only,2023-05-30,Labuan,Malaysia
549,Pesta Kaamatan,Wednesday,Regional Holiday,Sabah and Labuan only,2023-05-31,Labuan,Malaysia
550,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Labuan,Malaysia
551,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Labuan,Malaysia
552,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Labuan,Malaysia
553,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Labuan,Malaysia
554,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Labuan,Malaysia
555,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Labuan,Malaysia
556,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Labuan,Malaysia
557,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Labuan,Malaysia
558,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Labuan,Malaysia
559,Christmas Day,Monday,National Holiday,"",2023-12-25,Labuan,Malaysia
560,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Melaka,Malaysia
561,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Melaka,Malaysia
562,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Melaka,Malaysia
563,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Melaka,Malaysia
564,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Melaka,Malaysia
565,Beginning of Ramadan,Thursday,Regional Holiday,"Kedah, Malacca",2023-03-23,Melaka,Malaysia
566,Declaration of Malacca as a Historical City,Saturday,Regional Holiday,Malacca,2023-04-15,Melaka,Malaysia
567,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Melaka,Malaysia
568,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Melaka,Malaysia
569,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Melaka,Malaysia
570,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Melaka,Malaysia
571,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Melaka,Malaysia
572,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Melaka,Malaysia
573,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Melaka,Malaysia
574,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Melaka,Malaysia
575,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Melaka,Malaysia
576,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Melaka,Malaysia
577,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Melaka,Malaysia
578,Melaka Governor's Birthday,Thursday,Regional Holiday,Melaka,2023-08-24,Melaka,Malaysia
579,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Melaka,Malaysia
580,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Melaka,Malaysia
581,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Melaka,Malaysia
582,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Melaka,Malaysia
583,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Melaka,Malaysia
584,Christmas Day,Monday,National Holiday,"",2023-12-25,Melaka,Malaysia
585,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Negeri Sembilan,Malaysia
586,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Negeri Sembilan,Malaysia
587,Birthday of the Sultan of Negeri Sembilan,Saturday,Regional Holiday,Negeri Sembilan only,2023-01-14,Negeri Sembilan,Malaysia
588,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Negeri Sembilan,Malaysia
589,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Negeri Sembilan,Malaysia
590,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Negeri Sembilan,Malaysia
591,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Negeri Sembilan,Malaysia
592,Thaipusam (in lieu),Monday,Regional Holiday,Several states,2023-02-06,Negeri Sembilan,Malaysia
593,Isra and Miraj,Saturday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2023-02-18,Negeri Sembilan,Malaysia
594,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Negeri Sembilan,Malaysia
595,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Negeri Sembilan,Malaysia
596,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Negeri Sembilan,Malaysia
597,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Negeri Sembilan,Malaysia
598,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Negeri Sembilan,Malaysia
599,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Negeri Sembilan,Malaysia
600,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Negeri Sembilan,Malaysia
601,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Negeri Sembilan,Malaysia
602,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Negeri Sembilan,Malaysia
603,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Negeri Sembilan,Malaysia
604,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Negeri Sembilan,Malaysia
605,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Negeri Sembilan,Malaysia
606,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Negeri Sembilan,Malaysia
607,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Negeri Sembilan,Malaysia
608,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Negeri Sembilan,Malaysia
609,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Negeri Sembilan,Malaysia
610,Christmas Day,Monday,National Holiday,"",2023-12-25,Negeri Sembilan,Malaysia
611,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Pahang,Malaysia
612,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Pahang,Malaysia
613,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Pahang,Malaysia
614,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Pahang,Malaysia
615,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Pahang,Malaysia
616,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Pahang,Malaysia
617,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Pahang,Malaysia
618,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Pahang,Malaysia
619,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Pahang,Malaysia
620,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Pahang,Malaysia
621,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Pahang,Malaysia
622,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Pahang,Malaysia
623,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Pahang,Malaysia
624,The Sultan of Pahang Hol,Monday,Regional Holiday,Pahang,2023-05-22,Pahang,Malaysia
625,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Pahang,Malaysia
626,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Pahang,Malaysia
627,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Pahang,Malaysia
628,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Pahang,Malaysia
629,Birthday of the Sultan of Pahang,Sunday,Regional Holiday,Pahang only,2023-07-30,Pahang,Malaysia
630,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Pahang,Malaysia
631,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Pahang,Malaysia
632,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Pahang,Malaysia
633,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Pahang,Malaysia
634,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Pahang,Malaysia
635,Christmas Day,Monday,National Holiday,"",2023-12-25,Pahang,Malaysia
636,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Putrajaya,Malaysia
637,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Putrajaya,Malaysia
638,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Putrajaya,Malaysia
639,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Putrajaya,Malaysia
640,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Putrajaya,Malaysia
641,Federal Territory Day,Wednesday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya",2023-02-01,Putrajaya,Malaysia
642,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Putrajaya,Malaysia
643,Thaipusam (in lieu),Monday,Regional Holiday,Several states,2023-02-06,Putrajaya,Malaysia
644,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Putrajaya,Malaysia
645,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Putrajaya,Malaysia
646,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Putrajaya,Malaysia
647,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Putrajaya,Malaysia
648,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Putrajaya,Malaysia
649,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Putrajaya,Malaysia
650,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Putrajaya,Malaysia
651,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Putrajaya,Malaysia
652,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Putrajaya,Malaysia
653,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Putrajaya,Malaysia
654,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Putrajaya,Malaysia
655,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Putrajaya,Malaysia
656,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Putrajaya,Malaysia
657,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Putrajaya,Malaysia
658,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Putrajaya,Malaysia
659,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Putrajaya,Malaysia
660,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Putrajaya,Malaysia
661,Christmas Day,Monday,National Holiday,"",2023-12-25,Putrajaya,Malaysia
662,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Perlis,Malaysia
663,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Perlis,Malaysia
664,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Perlis,Malaysia
665,Isra and Miraj,Saturday,Regional Holiday,"Kedah, Perlis and Negeri Sembilan",2023-02-18,Perlis,Malaysia
666,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Perlis,Malaysia
667,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Perlis,Malaysia
668,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Perlis,Malaysia
669,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Perlis,Malaysia
670,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Perlis,Malaysia
671,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Perlis,Malaysia
672,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Perlis,Malaysia
673,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Perlis,Malaysia
674,Birthday of the Raja of Perlis,Wednesday,Regional Holiday,Perlis only,2023-05-17,Perlis,Malaysia
675,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Perlis,Malaysia
676,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Perlis,Malaysia
677,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Perlis,Malaysia
678,Hari Raya Haji Holiday,Friday,Regional Holiday,Some states,2023-06-30,Perlis,Malaysia
679,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Perlis,Malaysia
680,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Perlis,Malaysia
681,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Perlis,Malaysia
682,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Perlis,Malaysia
683,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Perlis,Malaysia
684,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Perlis,Malaysia
685,Christmas Day,Monday,National Holiday,"",2023-12-25,Perlis,Malaysia
686,New Year's Day,Sunday,Regional Holiday,Most states,2023-01-01,Penang,Malaysia
687,New Year's Day (in lieu),Monday,Regional Holiday,Most states,2023-01-02,Penang,Malaysia
688,Chinese New Year,Sunday,National Holiday,"1st day of 1st lunar month",2023-01-22,Penang,Malaysia
689,Chinese New Year Holiday,Monday,National Holiday,"",2023-01-23,Penang,Malaysia
690,Chinese New Year Holiday,Tuesday,Regional Holiday," Except JHR, KDH, KTN, TRG",2023-01-24,Penang,Malaysia
691,Thaipusam,Sunday,Regional Holiday,Several states,2023-02-05,Penang,Malaysia
692,Thaipusam (in lieu),Monday,Regional Holiday,Several states,2023-02-06,Penang,Malaysia
693,Nuzul Al-Quran Day,Saturday,Regional Holiday,"All regions except Johor, Kedah, Malacca, Sabah, Sarawak",2023-04-08,Penang,Malaysia
694,Hari Raya Aidilfitri Holiday,Friday,National Holiday,Public holiday for Eid Al-Fitr,2023-04-21,Penang,Malaysia
695,Hari Raya Aidilfitri,Saturday,National Holiday,End of Ramadan,2023-04-22,Penang,Malaysia
696,Hari Raya Aidilfitri Holiday,Sunday,National Holiday,Second day of holiday for Eid Al-Fitr,2023-04-23,Penang,Malaysia
697,Hari Raya Aidilfitri Holiday,Monday,Regional Holiday,"Except KDH,KTN,TRG",2023-04-24,Penang,Malaysia
698,Labour Day,Monday,National Holiday,International Workers' Day,2023-05-01,Penang,Malaysia
699,Wesak Day,Thursday,National Holiday,Birth of Buddha,2023-05-04,Penang,Malaysia
700,Mother's Day,Sunday,Not A Public Holiday,"2nd Sunday in May. Not a public holiday",2023-05-14,Penang,Malaysia
701,Birthday of SPB Yang di Pertuan Agong,Monday,National Holiday,"1st Monday in June",2023-06-05,Penang,Malaysia
702,Father's Day,Sunday,Not A Public Holiday,"3rd Sunday in June. Not a public holiday",2023-06-18,Penang,Malaysia
703,Hari Raya Haji,Thursday,National Holiday,Festival of Sacrifice,2023-06-29,Penang,Malaysia
704,George Town Heritage Day,Friday,Regional Holiday,Penang only,2023-07-07,Penang,Malaysia
705,Birthday of the Governor,Saturday,Regional Holiday,Penang,2023-07-08,Penang,Malaysia
706,Awal Muharram,Wednesday,National Holiday,Hijri New Year,2023-07-19,Penang,Malaysia
707,National Day,Thursday,National Holiday,Independence Day,2023-08-31,Penang,Malaysia
708,Malaysia Day,Saturday,National Holiday,Became a Federal Holiday in 2010,2023-09-16,Penang,Malaysia
709,Maulidur Rasul,Thursday,National Holiday,Birthday of Prophet Muhammad,2023-09-28,Penang,Malaysia
710,Deepavali,Sunday,Regional Holiday,The festival of lights. Except Sarawak,2023-11-12,Penang,Malaysia
711,Deepavali Holiday,Monday,Regional Holiday,"Except JHR, KHD, KTN, SRW, TRG",2023-11-13,Penang,Malaysia
712,Christmas Day,Monday,National Holiday,"",2023-12-25,Penang,Malaysia
